data_type,metric,comparison_type,condition,n,mean_or_mean_diff,ci_lo,ci_hi,p_value,cohens_d
voxel_data,delta_average_variance,one_sample_vs_0,WMP,18,-0.006754744765730522,-0.07150840386414145,0.07054947823174011,0.8725127487251275,-0.04225623776554366
voxel_data,delta_average_variance,one_sample_vs_0,OMP,18,-0.044616484746025725,-0.11114038233607111,0.018294881287961345,0.21237876212378762,-0.30411282918126076
voxel_data,delta_average_variance,pairwise_IM_vs_WMP,IM vs WMP,18,0.007954997458963473,-0.1565858938253443,0.1510264779211527,0.9367063293670633,0.023044205268787313
voxel_data,delta_average_variance,pairwise_IM_vs_OMP,IM vs OMP,18,0.045816737439258674,-0.07161445500282114,0.1633579172416545,0.4687531246875312,0.17223353247595982
voxel_data,delta_average_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.037861739980295205,-0.06304130814306011,0.1527830410922198,0.5415458454154585,0.1561895384465135
component_data,delta_total_variance,one_sample_vs_0,IM,18,-0.02479649534991057,-0.058784719592571734,0.004867684873163099,0.15178482151784822,-0.3537546345379598
component_data,delta_total_variance,one_sample_vs_0,WMP,18,0.002413082196720775,-0.019501090176262496,0.025686519226249996,0.8415158484151585,0.04719294859901303
component_data,delta_total_variance,one_sample_vs_0,OMP,18,-0.010591235804644192,-0.030673962694217544,0.009789661142250848,0.3287671232876712,-0.23594787455748642
component_data,delta_total_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.027209577546631347,-0.07049102856645491,0.005183560676267052,0.21657834216578342,-0.3166234446410042
component_data,delta_total_variance,pairwise_IM_vs_OMP,IM vs OMP,18,-0.014205259545266373,-0.04764327770452848,0.017350846327627553,0.41475852414758524,-0.19418393216615742
component_data,delta_total_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.01300431800136497,-0.023819559367405537,0.051068049876058716,0.5277472252774722,0.1543246000095276
component_data,delta_average_variance,one_sample_vs_0,IM,18,-0.008909878312207284,-0.04072756496004166,0.018290058810905247,0.6119388061193881,-0.13598363809947966
component_data,delta_average_variance,one_sample_vs_0,WMP,18,0.002887142451264266,-0.015099269066836337,0.022320315060417244,0.7723227677232277,0.0680489324617798
component_data,delta_average_variance,one_sample_vs_0,OMP,18,-0.009840443856273529,-0.026411334335604754,0.007113595818738843,0.272972702729727,-0.2634063480521154
component_data,delta_average_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.011797020763471546,-0.054103174020973886,0.018775895181903878,0.6713328667133287,-0.14315640762595083
component_data,delta_average_variance,pairwise_IM_vs_OMP,IM vs OMP,18,0.0009305655440662462,-0.029701551244172845,0.02910210268010722,0.9599040095990401,0.014003306666020522
component_data,delta_average_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.012727586307537796,-0.018803401548314884,0.04490633106446801,0.4647535246475352,0.17782207239739253
