,subject_id,session_number,session_type,score,metric,n_voxels,wmp_first
194,avatarRT_sub_17,3,WMP,0.0051840452159929,delta_EVR,1453.0,True
195,avatarRT_sub_17,3,WMP,0.1599999999999999,delta_BC,1453.0,True
196,avatarRT_sub_17,4,OMP,-0.0406930103777304,delta_EVR,1453.0,True
197,avatarRT_sub_17,4,OMP,0.04,delta_BC,1453.0,True
198,avatarRT_sub_18,2,IM,0.006972670673704,delta_EVR,1453.0,False
199,avatarRT_sub_18,2,IM,0.4000000000000002,delta_BC,1453.0,False
200,avatarRT_sub_18,4,WMP,0.0058038409163925,delta_EVR,1453.0,False
201,avatarRT_sub_18,4,WMP,-0.0799999999999999,delta_BC,1453.0,False
202,avatarRT_sub_18,3,OMP,0.0087637744071031,delta_EVR,1453.0,False
203,avatarRT_sub_18,3,OMP,0.24,delta_BC,1453.0,False
204,avatarRT_sub_18,2,IM,0.006972670673704,delta_EVR,1453.0,False
205,avatarRT_sub_18,2,IM,0.4000000000000002,delta_BC,1453.0,False
206,avatarRT_sub_18,4,WMP,0.0058038409163925,delta_EVR,1453.0,False
207,avatarRT_sub_18,4,WMP,-0.0799999999999999,delta_BC,1453.0,False
208,avatarRT_sub_18,3,OMP,0.0087637744071031,delta_EVR,1453.0,False
209,avatarRT_sub_18,3,OMP,0.24,delta_BC,1453.0,False
210,avatarRT_sub_18,2,IM,0.006972670673704,delta_EVR,1453.0,False
211,avatarRT_sub_18,2,IM,0.4000000000000002,delta_BC,1453.0,False
212,avatarRT_sub_18,4,WMP,0.0058038409163925,delta_EVR,1453.0,False
213,avatarRT_sub_18,4,WMP,-0.0799999999999999,delta_BC,1453.0,False
214,avatarRT_sub_18,3,OMP,0.0087637744071031,delta_EVR,1453.0,False
215,avatarRT_sub_18,3,OMP,0.24,delta_BC,1453.0,False
216,avatarRT_sub_19,2,IM,0.0252275141800323,delta_EVR,1453.0,True
217,avatarRT_sub_19,2,IM,0.5200000000000001,delta_BC,1453.0,True
218,avatarRT_sub_19,3,WMP,-0.017402662925553,delta_EVR,1453.0,True
219,avatarRT_sub_19,3,WMP,0.0,delta_BC,1453.0,True
220,avatarRT_sub_19,4,OMP,0.0179182366121535,delta_EVR,1453.0,True
221,avatarRT_sub_19,4,OMP,-0.12,delta_BC,1453.0,True
222,avatarRT_sub_19,2,IM,0.0252275141800323,delta_EVR,1453.0,True
223,avatarRT_sub_19,2,IM,0.5200000000000001,delta_BC,1453.0,True
224,avatarRT_sub_19,3,WMP,-0.017402662925553,delta_EVR,1453.0,True
225,avatarRT_sub_19,3,WMP,0.0,delta_BC,1453.0,True
226,avatarRT_sub_19,4,OMP,0.0179182366121535,delta_EVR,1453.0,True
227,avatarRT_sub_19,4,OMP,-0.12,delta_BC,1453.0,True
228,avatarRT_sub_19,2,IM,0.0252275141800323,delta_EVR,1453.0,True
229,avatarRT_sub_19,2,IM,0.5200000000000001,delta_BC,1453.0,True
230,avatarRT_sub_19,3,WMP,-0.017402662925553,delta_EVR,1453.0,True
231,avatarRT_sub_19,3,WMP,0.0,delta_BC,1453.0,True
232,avatarRT_sub_19,4,OMP,0.0179182366121535,delta_EVR,1453.0,True
233,avatarRT_sub_19,4,OMP,-0.12,delta_BC,1453.0,True
234,avatarRT_sub_21,2,IM,0.0183178397568112,delta_EVR,1453.0,True
235,avatarRT_sub_21,2,IM,0.4400000000000001,delta_BC,1453.0,True
236,avatarRT_sub_21,3,WMP,0.0053084264356661,delta_EVR,1453.0,True
237,avatarRT_sub_21,3,WMP,0.28,delta_BC,1453.0,True
238,avatarRT_sub_21,4,OMP,0.0121351611793987,delta_EVR,1453.0,True
239,avatarRT_sub_21,4,OMP,-0.08,delta_BC,1453.0,True
240,avatarRT_sub_21,2,IM,0.0183178397568112,delta_EVR,1453.0,True
241,avatarRT_sub_21,2,IM,0.4400000000000001,delta_BC,1453.0,True
242,avatarRT_sub_21,3,WMP,0.0053084264356661,delta_EVR,1453.0,True
243,avatarRT_sub_21,3,WMP,0.28,delta_BC,1453.0,True
244,avatarRT_sub_21,4,OMP,0.0121351611793987,delta_EVR,1453.0,True
245,avatarRT_sub_21,4,OMP,-0.08,delta_BC,1453.0,True
246,avatarRT_sub_21,2,IM,0.0183178397568112,delta_EVR,1453.0,True
247,avatarRT_sub_21,2,IM,0.4400000000000001,delta_BC,1453.0,True
248,avatarRT_sub_21,3,WMP,0.0053084264356661,delta_EVR,1453.0,True
249,avatarRT_sub_21,3,WMP,0.28,delta_BC,1453.0,True
250,avatarRT_sub_21,4,OMP,0.0121351611793987,delta_EVR,1453.0,True
