subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
avatarRT_sub_22,IM,BC,0.000173096,0.032370257,25.80302005,0.618841352,0.622425651,-0.890313988,0.373297312,variance,subselection,0.60399998,0.890313988
avatarRT_sub_22,IM,BC,0.002246904,0.032370257,0.285881788,0.005486464,0.011226603,2.979534321,0.002886869,variance,realignment,0.99600002,2.979534321
avatarRT_sub_22,WMP,BC,0.002252391,-0.009313736,0.001039395,-0.015384209,3.29E-05,-3.809535476,0.000139228,variance,subselection,0.99999998,3.809535476
avatarRT_sub_22,WMP,BC,0.000785489,-0.009313736,12.12541301,0.591754237,0.595829352,-1.086149239,0.277412971,variance,realignment,0.71999998,1.086149239
avatarRT_sub_23,IM,BC,0.010306341,0.002156425,2.46E-13,-0.004291996,1.27E-14,-5.129169459,2.91E-07,variance,subselection,0.99999998,5.129169459
avatarRT_sub_23,IM,BC,0.000615721,0.002156425,14.31564013,0.694790965,0.696720681,0.831993879,0.405412399,variance,realignment,0.61200002,0.831993879
avatarRT_sub_23,WMP,BC,0.000143722,0.023713673,32.19345301,0.824077,0.826150412,-0.731182062,0.464667955,variance,subselection,0.51599998,0.731182062
avatarRT_sub_23,WMP,BC,0.000399721,0.023713673,15.9700559,0.593773111,0.596813816,0.821308334,0.411470662,variance,realignment,0.59200002,0.821308334
avatarRT_sub_24,IM,BC,0.000268962,0.050764707,16.77903713,0.406033022,0.410323741,1.326888157,0.184545682,variance,subselection,0.80600002,1.326888157
avatarRT_sub_24,IM,BC,0.001272394,0.050764707,5.031433616,0.208738313,0.21878329,1.843204932,0.065299095,variance,realignment,0.90800002,1.843204932
avatarRT_sub_24,WMP,BC,0.001381499,-0.013288077,7.533548068,0.443468241,0.447952325,-1.238548103,0.215512897,variance,subselection,0.80599998,1.238548103
avatarRT_sub_24,WMP,BC,0.00283388,-0.013288077,3.14401443,0.220022319,0.223558306,1.733345033,0.083034361,variance,realignment,0.92000002,1.733345033
avatarRT_sub_25,IM,BC,0.000670288,0.057591051,13.41673104,0.643808751,0.6456053,-0.970059417,0.332016876,variance,subselection,0.65999998,0.970059417
avatarRT_sub_25,IM,BC,0.007207239,0.057591051,1.38E-20,-0.005935516,5.13E-22,5.623361302,1.87E-08,variance,realignment,1.00000002,5.623361302
avatarRT_sub_25,WMP,BC,0.007430011,-0.041773174,1.03E-67,-0.011297902,2.99E-69,-7.518771563,5.53E-14,variance,subselection,0.99999998,7.518771563
avatarRT_sub_25,WMP,BC,0.000521657,-0.041773174,13.98370905,0.53285999,0.537265488,-1.120375792,0.262553656,variance,realignment,0.76599998,1.120375792
avatarRT_sub_05,IM,0.2,0.000903931,-0.003797226,3.23101472,0.092021024,0.103444399,-2.175113272,0.029621629,variance,subselection,0.97599998,2.175113272
avatarRT_sub_05,IM,0.2,0.000529559,-0.003797226,15.86729058,0.636349184,0.637952968,-1.112391987,0.265969648,variance,realignment,0.74199998,1.112391987
avatarRT_sub_05,WMP,0.2,0.000283404,0.012133764,18.43700013,0.511252913,0.513395948,-1.078090153,0.280993526,variance,subselection,0.71599998,1.078090153
avatarRT_sub_05,WMP,0.2,0.000450721,0.012133764,17.25336891,0.829141769,0.832935612,-0.535144364,0.592550035,variance,realignment,0.38999998,0.535144364
avatarRT_sub_06,IM,0.2,0.002180712,0.066698926,1.237676264,0.038786712,0.053362084,2.600384236,0.009311943,variance,subselection,0.98400002,2.600384236
avatarRT_sub_06,IM,0.2,0.010140581,0.066698926,5.96E-19,-0.005932141,2.60E-20,5.880406326,4.09E-09,variance,realignment,1.00000002,5.880406326
