,subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
3,avatarRT_sub_06,WMP,0.2,0.1653494349623074,-0.42620234932651835,0.0,-0.0074946084378787236,0.0,-13.220022976125476,6.724340406398456e-40,entropy,realignment,0.99999998,13.220022976125476
0,avatarRT_sub_07,IM,0.2,0.002735851059062408,-0.0216553148531905,0.006585074135173236,-0.018836710454060393,0.00024781429521285585,-3.520029685838639,0.00043149850099290287,variance,subselection,0.99999998,3.520029685838639
1,avatarRT_sub_07,IM,0.2,0.00439484476569651,-0.04641222330514738,5.130676581117973,0.6912951310504349,0.6940745797357819,0.7398477151849085,0.4593924026978661,entropy,subselection,0.5220000199999998,0.7398477151849085
2,avatarRT_sub_07,IM,0.2,0.0006159783933844374,-0.0216553148531905,13.565536109055556,0.5481603679533108,0.5553575605963393,-1.1089792764213258,0.2674391221287695,variance,realignment,0.74799998,1.1089792764213258
3,avatarRT_sub_07,IM,0.2,0.007103374124779224,-0.04641222330514738,1.9097005590735845,0.1932851955430299,0.19873966731806145,-1.7361227828433656,0.08254212676887895,entropy,realignment,0.90599998,1.7361227828433656
0,avatarRT_sub_07,WMP,0.2,0.006253864741227598,-0.03588406384362544,0.0005016203205217257,-0.004035472434433686,2.650733559108822e-05,-3.680351793324798,0.00023291240122522714,variance,subselection,0.99999998,3.680351793324798
1,avatarRT_sub_07,WMP,0.2,0.029444226111619787,0.04007754517489737,1.32446395344614e-05,-0.004238040555643277,1.5545437574180323e-06,3.7569645218330128,0.0001719868683489568,entropy,subselection,1.0000000199999999,3.7569645218330128
2,avatarRT_sub_07,WMP,0.2,0.009859428780564812,-0.03588406384362544,0.00398300738507858,-0.016481057692087207,0.0002554869851788066,3.9118757577039083,9.158202580194111e-05,variance,realignment,1.0000000199999999,3.9118757577039083
3,avatarRT_sub_07,WMP,0.2,0.08288763545323344,0.04007754517489737,0.04419630610709578,0.007963430943207192,0.01202428456294624,2.5136816888757623,0.011947821745358354,entropy,realignment,1.0000000199999999,2.5136816888757623
0,avatarRT_sub_08,IM,0.2,0.005045286257926613,-0.0427633548423154,4.4702103378540365e-12,-0.0044516614490624435,1.5177014313773102e-13,-5.017862411358783,5.224957392015266e-07,variance,subselection,0.99999998,5.017862411358783
1,avatarRT_sub_08,IM,0.2,0.002089956994737605,-0.03422307639492539,9.065692613995282,0.9680933319703177,0.9686219902064557,0.3207549221925638,0.7483961226143888,entropy,subselection,0.22200001999999996,0.3207549221925638
2,avatarRT_sub_08,IM,0.2,0.0006436210089966785,-0.0427633548423154,14.394325242584069,0.8099747110375297,0.8107714590606236,-0.6443728320702367,0.5193336973992919,variance,realignment,0.47599998,0.6443728320702367
3,avatarRT_sub_08,IM,0.2,0.011720075647533842,-0.03422307639492539,4.2894669995630315,0.9281913775228205,0.928596036769944,0.7232645735194938,0.4695173533796059,entropy,realignment,0.5200000199999999,0.7232645735194938
0,avatarRT_sub_08,WMP,0.2,0.0018991920001007218,-0.013668952554174024,0.6435563694417892,0.013063066392890371,0.02248419494256585,-3.0121520689417656,0.0025940261346573835,variance,subselection,0.99599998,3.0121520689417656
1,avatarRT_sub_08,WMP,0.2,0.0034214142453131203,-0.028580387464514967,6.606990693920267,0.8561234239210436,0.8567024030763424,0.5542082647342207,0.5794363227927167,entropy,subselection,0.45000001999999995,0.5542082647342207
2,avatarRT_sub_08,WMP,0.2,0.00036979604375932763,-0.013668952554174024,20.607327426713187,0.9842541498800916,0.9845015028526818,-0.21407115867971258,0.8304915664855228,variance,realignment,0.15399998000000012,0.21407115867971258
3,avatarRT_sub_08,WMP,0.2,0.006458898126854017,-0.028580387464514967,4.18305922836704,0.5859588071978789,0.5881134003030682,-1.065218848751061,0.28677690593011396,entropy,realignment,0.7099999800000001,1.065218848751061
0,avatarRT_sub_10,IM,0.2,0.002862580785662942,-0.028793390465271324,0.06308489767873529,-0.0017715791733699884,0.00217213124295499,-3.7212770372453163,0.0001982178337204604,variance,subselection,0.99799998,3.7212770372453163
1,avatarRT_sub_10,IM,0.2,0.003029081186690462,-0.11235396564641187,7.238556948126261,0.9962202050578369,0.9962396356423745,0.1211036053117987,0.9036089735709073,entropy,subselection,0.07200001999999998,0.1211036053117987
2,avatarRT_sub_10,IM,0.2,0.0010981067254193712,-0.028793390465271324,3.0871302685591266,0.10574756843188092,0.11745885361501368,-2.12029023545712,0.03398157662549921,variance,realignment,0.9699999800000001,2.12029023545712
3,avatarRT_sub_10,IM,0.2,0.017067299881682513,-0.11235396564641187,0.35289053997265285,0.02131549689735122,0.04293910824082445,-2.688899409788136,0.007168801769417737,entropy,realignment,0.98999998,2.688899409788136
0,avatarRT_sub_10,WMP,0.2,0.001758506032020937,0.0034981627310548824,2.3891165569036747,0.093470200846445,0.10428795093895653,-2.0902209769951052,0.03659795402376459,variance,subselection,0.97199998,2.0902209769951052
1,avatarRT_sub_10,WMP,0.2,0.005515308653647085,-0.02849229335033776,2.7227708061837523,0.268024793174339,0.28211755598316673,1.620654523560909,0.10509175181956826,entropy,subselection,0.90400002,1.620654523560909
2,avatarRT_sub_10,WMP,0.2,0.017293423361534443,0.0034981627310548824,1.2601941465062836e-44,-0.022857004479021923,6.4338798432306004e-46,6.560888223648532,5.348820521947586e-11,variance,realignment,1.0000000199999999,6.560888223648532
3,avatarRT_sub_10,WMP,0.2,0.0540748655551955,-0.02849229335033776,0.01675284482340293,-0.013931605087114173,0.0032325390944806407,2.747153914962261,0.006011491597782876,entropy,realignment,1.0000000199999999,2.747153914962261
0,avatarRT_sub_11,IM,0.2,0.001991663390016797,0.05949057027089906,3.3105041174517147e-10,-0.007139956597060523,8.051392036757184e-12,4.698420199975263,2.621815903391631e-06,variance,subselection,1.0000000199999999,4.698420199975263
1,avatarRT_sub_11,IM,0.2,0.040315140417248645,0.14533609843897688,0.0006518611787947226,-0.0039052076807151326,7.075397013031083e-05,4.3222952937435215,1.5441432950936116e-05,entropy,subselection,1.0000000199999999,4.3222952937435215
2,avatarRT_sub_11,IM,0.2,0.003094111071788533,0.05949057027089906,0.39391173628832743,0.007996477432061675,0.016663248249457238,3.060752847508254,0.0022078125746190823,variance,realignment,0.9960000199999999,3.060752847508254
3,avatarRT_sub_11,IM,0.2,0.025519841744784968,0.14533609843897688,1.3674032786984784,0.2751951733818234,0.2793109449166529,1.6025698079992814,0.10902966394198019,entropy,realignment,0.9260000199999999,1.6025698079992814
0,avatarRT_sub_11,WMP,0.2,0.0004325718460377237,0.0032685516564457673,10.455207633454995,0.28596975628271876,0.29602423803354483,-1.4781538074473863,0.13936661463914196,variance,subselection,0.86599998,1.4781538074473863
1,avatarRT_sub_11,WMP,0.2,0.024068231692463186,0.11656118894089662,0.17516132646523092,0.014135749369021643,0.02273544652811374,2.868283349315797,0.004127057412662705,entropy,subselection,0.9920000199999999,2.868283349315797
2,avatarRT_sub_11,WMP,0.2,0.0004261424196759971,0.0032685516564457673,18.79545727226547,0.9808950859192067,0.9811174051162341,0.08696582753062611,0.9306986748426829,variance,realignment,0.09200001999999997,0.08696582753062611
3,avatarRT_sub_11,WMP,0.2,0.008392677900711501,0.11656118894089662,4.526264603629029,0.9155594294152996,0.9158857621250622,0.41682226057654714,0.6768084188061728,entropy,realignment,0.3000000199999999,0.41682226057654714
0,avatarRT_sub_13,IM,0.2,0.0019839977285379925,-0.020173254957215447,0.2518874699079715,-0.0008314620515988451,0.008619971939034115,-3.113658123372395,0.001847834656573069,variance,subselection,0.99999998,3.113658123372395
1,avatarRT_sub_13,IM,0.2,0.0050200490988655845,-0.0068493958748767625,4.572681844276876,0.514816081411641,0.5175477910085925,1.1517142489063246,0.24943851506628634,entropy,subselection,0.76400002,1.1517142489063246
2,avatarRT_sub_13,IM,0.2,0.0006606570760057667,-0.020173254957215447,15.90450073749899,0.8713717482857138,0.8723798227372622,-0.7392666241846041,0.4597451117876761,variance,realignment,0.54199998,0.7392666241846041
3,avatarRT_sub_13,IM,0.2,0.009316123353813098,-0.0068493958748767625,3.7007563830679104,0.8000888990794174,0.8025932948027971,-0.5824474359252921,0.5602653376927145,entropy,realignment,0.47599998,0.5824474359252921
0,avatarRT_sub_13,WMP,0.2,0.013489203062174472,0.12410594465700764,0.0,-0.0042143305143875764,0.0,14.562736116001076,4.847797885915871e-48,variance,subselection,1.0000000199999999,14.562736116001076
1,avatarRT_sub_13,WMP,0.2,0.4762655738698237,0.7534722423525104,2.2752724490407934e-53,-0.004059265794231528,4.46959376990064e-54,7.973283291833533,1.545134356936584e-15,entropy,subselection,1.0000000199999999,7.973283291833533
2,avatarRT_sub_13,WMP,0.2,0.0021136366928082356,0.12410594465700764,2.518530003322478,0.13188863983038485,0.1403608962007044,2.02853479997056,0.042505695307542064,variance,realignment,0.9460000199999999,2.02853479997056
3,avatarRT_sub_13,WMP,0.2,0.006753999426617332,0.7534722423525104,4.636900277993453,0.9994798710244999,0.9994834490527924,0.0877924422356641,0.9300416447936294,entropy,realignment,0.034000020000000006,0.0877924422356641
0,avatarRT_sub_14,IM,0.2,0.00018523530500103537,0.011846829656188329,30.744075899417233,0.8067022818668811,0.8078545999931139,-0.827905822176084,0.4077238374335227,variance,subselection,0.58799998,0.827905822176084
1,avatarRT_sub_14,IM,0.2,0.006029681363834422,0.013865287758525469,3.6041425667319698,0.5098461488371119,0.5117209431717361,0.7543910661383783,0.45061443446963223,entropy,subselection,0.5820000199999998,0.7543910661383783
2,avatarRT_sub_14,IM,0.2,0.0006629966918618156,0.011846829656188329,13.957748049655214,0.7623567030864086,0.7633448143226804,0.705311370047364,0.48061648620676356,variance,realignment,0.5320000199999998,0.705311370047364
3,avatarRT_sub_14,IM,0.2,0.00979078960083991,0.013865287758525469,4.222176933127626,0.908670958592942,0.90903377968383,0.5682030929617352,0.5698970715242023,entropy,realignment,0.41200001999999986,0.5682030929617352
