,session_type,session_id,run,total_variance,average_variance,data_type,subject_id
78,IM,ses_02,3,0.12091338162974426,0.11427273786848384,manifold_projection,avatarRT_sub_07
79,IM,ses_02,3,1.1681449261474683,1.1018343174408027,voxel_data,avatarRT_sub_07
80,IM,ses_02,3,0.12034928498136818,0.11382826981369606,component_data,avatarRT_sub_07
81,IM,ses_02,4,0.1319572566480161,0.12456599817221599,manifold_projection,avatarRT_sub_07
82,IM,ses_02,4,1.118433919502977,1.0706581334789569,voxel_data,avatarRT_sub_07
83,IM,ses_02,4,0.13161916834120807,0.12430729373295832,component_data,avatarRT_sub_07
84,WMP,ses_03,1,0.1470639070727453,0.12520855774155643,manifold_projection,avatarRT_sub_07
85,WMP,ses_03,1,1.3452884058414427,1.1855482837551978,voxel_data,avatarRT_sub_07
86,WMP,ses_03,1,0.14787369547252316,0.1252463054616954,component_data,avatarRT_sub_07
87,WMP,ses_03,2,0.11553010015363491,0.10827510079234766,manifold_projection,avatarRT_sub_07
88,WMP,ses_03,2,1.2062514402403832,1.0904835730751896,voxel_data,avatarRT_sub_07
89,WMP,ses_03,2,0.11534441021138327,0.10828311715062752,component_data,avatarRT_sub_07
90,WMP,ses_03,3,0.12567234377875217,0.11812112477952164,manifold_projection,avatarRT_sub_07
91,WMP,ses_03,3,1.2030186969197751,1.1387384846853184,voxel_data,avatarRT_sub_07
92,WMP,ses_03,3,0.12499286870812086,0.11725882236225445,component_data,avatarRT_sub_07
93,WMP,ses_03,4,0.1466592735823483,0.12753554462438949,manifold_projection,avatarRT_sub_07
94,WMP,ses_03,4,1.2695283524707384,1.1454758143518349,voxel_data,avatarRT_sub_07
95,WMP,ses_03,4,0.14646357625512466,0.12795670975689138,component_data,avatarRT_sub_07
96,OMP,ses_04,1,0.12129428989146926,0.09242664630949496,manifold_projection,avatarRT_sub_07
97,OMP,ses_04,1,1.2175119570212702,0.9330527139017756,voxel_data,avatarRT_sub_07
98,OMP,ses_04,1,0.1203496143402238,0.09177358006283473,component_data,avatarRT_sub_07
99,OMP,ses_04,2,0.11772992752937868,0.11382990380705879,manifold_projection,avatarRT_sub_07
100,OMP,ses_04,2,1.1042833441346043,1.0385968565597141,voxel_data,avatarRT_sub_07
101,OMP,ses_04,2,0.11823441001828697,0.11416172279507733,component_data,avatarRT_sub_07
102,OMP,ses_04,3,0.11379817771564535,0.11006197606957813,manifold_projection,avatarRT_sub_07
103,OMP,ses_04,3,1.30839248207018,1.2248620165960025,voxel_data,avatarRT_sub_07
