embedding_type,metric,subject_id,embedding_dim,score
tphate,himalaya,avatarRT_sub_14,3,1.002413951
tphate,himalaya,avatarRT_sub_15,3,0.999317369
tphate,himalaya,avatarRT_sub_16,3,1.002041031
tphate,himalaya,avatarRT_sub_17,3,0.999638877
tphate,himalaya,avatarRT_sub_18,3,1.005517714
tphate,himalaya,avatarRT_sub_19,3,0.999555156
tphate,himalaya,avatarRT_sub_21,3,1.012145382
tphate,himalaya,avatarRT_sub_22,3,1.004403784
tphate,himalaya,avatarRT_sub_23,3,1.006170742
tphate,himalaya,avatarRT_sub_24,3,1.00259531
tphate,himalaya,avatarRT_sub_25,3,1.002492213
tphate,himalaya,avatarRT_sub_05,5,1.004965895
tphate,himalaya,avatarRT_sub_06,5,0.999015992
tphate,himalaya,avatarRT_sub_07,5,1.002020239
tphate,himalaya,avatarRT_sub_08,5,1.000940636
tphate,himalaya,avatarRT_sub_10,5,1.000064975
tphate,himalaya,avatarRT_sub_11,5,0.993958706
tphate,himalaya,avatarRT_sub_13,5,1.003375528
tphate,himalaya,avatarRT_sub_14,5,1.005740693
tphate,himalaya,avatarRT_sub_15,5,1.001530375
tphate,himalaya,avatarRT_sub_16,5,1.001050199
tphate,himalaya,avatarRT_sub_17,5,0.979968306
tphate,himalaya,avatarRT_sub_18,5,1.0010755
tphate,himalaya,avatarRT_sub_19,5,0.990255654
tphate,himalaya,avatarRT_sub_21,5,1.010771667
tphate,himalaya,avatarRT_sub_22,5,1.004372958
tphate,himalaya,avatarRT_sub_23,5,1.00255845
tphate,himalaya,avatarRT_sub_24,5,1.001821884
tphate,himalaya,avatarRT_sub_25,5,1.000593355
tphate,himalaya,avatarRT_sub_05,10,1.001048092
tphate,himalaya,avatarRT_sub_06,10,1.000485598
tphate,himalaya,avatarRT_sub_07,10,1.002072216
tphate,himalaya,avatarRT_sub_08,10,1.000853961
tphate,himalaya,avatarRT_sub_10,10,0.999509734
tphate,himalaya,avatarRT_sub_11,10,0.992784652
tphate,himalaya,avatarRT_sub_13,10,1.003740834
tphate,himalaya,avatarRT_sub_14,10,1.00604793
tphate,himalaya,avatarRT_sub_15,10,0.9852307
tphate,himalaya,avatarRT_sub_16,10,1.000969169
tphate,himalaya,avatarRT_sub_17,10,1.00387506
tphate,himalaya,avatarRT_sub_18,10,1.002107687
tphate,himalaya,avatarRT_sub_19,10,0.989642095
tphate,himalaya,avatarRT_sub_21,10,1.00754991
tphate,himalaya,avatarRT_sub_22,10,1.003636817
tphate,himalaya,avatarRT_sub_23,10,1.005597603
tphate,himalaya,avatarRT_sub_24,10,1.00064245
tphate,himalaya,avatarRT_sub_25,10,1.000798531
tphate,himalaya,avatarRT_sub_05,15,1.001089067
tphate,himalaya,avatarRT_sub_06,15,0.999059051
tphate,himalaya,avatarRT_sub_07,15,1.001931329
tphate,himalaya,avatarRT_sub_08,15,0.981225071
