,session_type,session_id,delta_total_variance,delta_average_variance,data_type,subject_id
101,IM,ses_02,-0.08069881974078014,-0.06529613601065484,component_data,avatarRT_sub_17
102,WMP,ses_03,-0.06884565222096237,-0.046169388664053373,manifold_projection,avatarRT_sub_17
103,WMP,ses_03,-0.0872866933723162,-0.040466160213683766,voxel_data,avatarRT_sub_17
104,WMP,ses_03,-0.06760217040222433,-0.04516263679301849,component_data,avatarRT_sub_17
105,OMP,ses_04,0.08490237778107432,0.07124432498391771,manifold_projection,avatarRT_sub_17
106,OMP,ses_04,0.03277097354531344,-0.05689438292804638,voxel_data,avatarRT_sub_17
107,OMP,ses_04,0.08568966554591506,0.07169662847648377,component_data,avatarRT_sub_17
108,IM,ses_02,-0.0049055154681452995,-0.0028612745505998405,manifold_projection,avatarRT_sub_18
109,IM,ses_02,-0.004991878372801795,0.05440958665101536,voxel_data,avatarRT_sub_18
110,IM,ses_02,-0.005048643026825034,-0.0031813271750945615,component_data,avatarRT_sub_18
111,WMP,ses_04,0.04553873149300372,0.04142011897535239,manifold_projection,avatarRT_sub_18
112,WMP,ses_04,0.17136965072863308,0.10045283748101308,voxel_data,avatarRT_sub_18
113,WMP,ses_04,0.04572378657115958,0.04161695591538245,component_data,avatarRT_sub_18
114,OMP,ses_03,-0.005607598410941633,-0.04508252571299201,manifold_projection,avatarRT_sub_18
115,OMP,ses_03,-0.2256904309783575,-0.25458441408505916,voxel_data,avatarRT_sub_18
116,OMP,ses_03,-0.0060151907929709425,-0.045287078613025236,component_data,avatarRT_sub_18
117,IM,ses_02,-0.028608042861643312,-0.01815389346328758,manifold_projection,avatarRT_sub_19
118,IM,ses_02,0.09589923971853054,0.09087354697902006,voxel_data,avatarRT_sub_19
119,IM,ses_02,-0.028844435575537064,-0.018504864920519226,component_data,avatarRT_sub_19
120,WMP,ses_03,0.1251017462796627,0.08369358464169024,manifold_projection,avatarRT_sub_19
121,WMP,ses_03,0.06287687226825045,-0.02139432246565587,voxel_data,avatarRT_sub_19
122,WMP,ses_03,0.12492805149103248,0.08404694767569099,component_data,avatarRT_sub_19
123,OMP,ses_04,-0.07864506737159632,-0.06548431509120309,manifold_projection,avatarRT_sub_19
124,OMP,ses_04,0.02329490341586471,0.05649653901571927,voxel_data,avatarRT_sub_19
125,OMP,ses_04,-0.08032011192619362,-0.06569725633878953,component_data,avatarRT_sub_19
126,IM,ses_02,0.0726912813007308,0.08345702791388002,manifold_projection,avatarRT_sub_20
127,IM,ses_02,0.012901358356825154,0.18055128355696837,voxel_data,avatarRT_sub_20
128,IM,ses_02,0.07414715764715571,0.08408967568585562,component_data,avatarRT_sub_20
129,WMP,ses_04,0.0014328830352612482,0.006269815988807867,manifold_projection,avatarRT_sub_20
130,WMP,ses_04,-0.038339772442947284,0.02081222962816165,voxel_data,avatarRT_sub_20
131,WMP,ses_04,0.0018708846300667659,0.006261799463413348,component_data,avatarRT_sub_20
